,Agrocapi,Agrostis_spp,Anthodor,Aulapalu,Callvulg,Cardprat,Carenigr,Carepanic,Carepilu,Carex_spp,Cerafont,Cirspalu,Cynocris,Desccesp,Descflex,Dricscop,Durodili,Empenigr,Erictetr,Erioangu,Eriovagi,Festovin,Festrubr,Galisaxa,Holclana,Hylosple,Hylosple.1,Hypnjutu,Junceffu,Juncsqua,Luzumulti,Luzusylv,Molicaer,Nardstri,Plagiotundu,Pleuschr,Poaannu,Poaprat,Poatriv,Polycomm,Poteerec,Pseupuru,Ranurepe,Rhytlore,Rhytsqua,Rumeacetosa,Rumeacetosella,Sphacapi,Sphafall,sphapalu,Stelalsi,Taraxacu,Thuitama,Triccesp,Trifrepe,Vaccmyrt
40,0,4.1237113402,7.2164948454,0,0,0,2.0618556701,0,0,0,0,0,0,6.1855670103,0,0,0,0,0,0,0,6.1855670103,0,0,1.0309278351,0,0,0,15.4639175258,0,1.0309278351,0,0,41.2371134021,0,0,0,0,0,7.2164948454,8.2474226804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,1,1,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,3,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0
42,0,0,0,1.0309278351,5.1546391753,0,0,0,0,0,0,0,0,0,14.4329896907,0,0,1.0309278351,5.1546391753,6.1855670103,0,1.0309278351,0,2.0618556701,0,0,0,1.0309278351,0,17.5257731959,0,0,34.0206185567,2.0618556701,0,6.1855670103,0,0,0,1.0309278351,0,0,0,0,1.0309278351,0,0,0,1.0309278351,0,0,0,0,0,0,0
43,0,3,4,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,9,0,4,0,0,0,0,2,0,0,0,42,12,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
44,0,1.0101010101,0,3.0303030303,0,0,15.1515151515,0,0,0,0,0,0,0,40.404040404,0,0,0,0,0,0,1.0101010101,0,0,0,0,0,0,0,0,0,0,7.0707070707,2.0202020202,0,1.0101010101,0,0,0,23.2323232323,0,0,0,0,3.0303030303,0,0,0,3.0303030303,0,0,0,0,0,0,0
45,3.0303030303,9.0909090909,12.1212121212,0,0,0,8.0808080808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0808080808,0,0,0,0,0,0,0,21.2121212121,2.0202020202,0,13.1313131313,21.2121212121,0,0,0,1.0101010101,0,0,0,0,0,0,1.0101010101,0,0,0,0,0,0,0,0,0,0,0
46,0,3.0927835052,2.0618556701,0,1.0309278351,0,24.7422680412,0,0,0,0,0,0,0,5.1546391753,0,0,0,0,0,0,3.0927835052,0,0,0,0,0,0,3.0927835052,5.1546391753,0,0,24.7422680412,26.8041237113,0,0,0,0,0,0,0,0,0,0,1.0309278351,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,66,0,0,7,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,3.0927835052,0,0,0,22.6804123711,0,0,1.0309278351,0,0,0,0,18.5567010309,0,0,0,0,0,0,10.3092783505,0,4.1237113402,0,0,0,0,0,26.8041237113,2.0618556701,0,0,2.0618556701,0,3.0927835052,0,0,0,0,0,0,0,0,6.1855670103,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,28,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,2,0,0,0,3,0,0,0,0,0,0,0,4,0,24,0,0,0,1,0,4
50,0,0,0,0,6.1855670103,0,6.1855670103,0,0,0,0,0,0,0,0,0,0,0,0,0,30.9278350515,0,0,0,0,0,0,0,0,0,0,0,25.7731958763,0,0,0,0,0,0,2.0618556701,0,0,0,0,0,0,0,0,0,6.1855670103,0,0,0,0,0,22.6804123711
51,0,0,0,0,96,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
52,0,0,0,0,7,0,15,0,0,0,0,0,0,0,14,0,0,0,0,2,0,5,0,0,0,0,0,0,0,1,0,0,48,0,0,1,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
